filename,street_numbers,numbers_ground_truth_filename,original_filename,original_url
Atlas_de_Jacoubet_-_39._Barrière_du_Maine_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_39._Barrière_du_Maine_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Atlas_de_Jacoubet_-_39._Barri%C3%A8re_du_Maine_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_40._Barrière_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_40._Barrière_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Atlas_de_Jacoubet_-_40._Barri%C3%A8re_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_41._Hôpital_Militaire_du_Val-de-Grâce_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_41._Hôpital_Militaire_du_Val-de-Grâce_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Atlas_de_Jacoubet_-_41._H%C3%B4pital_Militaire_du_Val-de-Gr%C3%A2ce_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg
"Atlas_de_Jacoubet_-_43._Salpétrière,_Hospice_de_la_Vieillesse,_Femmes_et_ses_environs_-_BHVP.jpg",yes,,"Atlas_de_Jacoubet_-_43._Salpétrière,_Hospice_de_la_Vieillesse,_Femmes_et_ses_environs_-_BHVP.jpg",https://upload.wikimedia.org/wikipedia/commons/9/90/Atlas_de_Jacoubet_-_43._Salp%C3%A9tri%C3%A8re%2C_Hospice_de_la_Vieillesse%2C_Femmes_et_ses_environs_-_BHVP.jpg
"Atlas_de_Jacoubet_-_44._Barrière_de_Charenton,_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg",yes,,"Atlas_de_Jacoubet_-_44._Barrière_de_Charenton,_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg",https://upload.wikimedia.org/wikipedia/commons/3/3a/Atlas_de_Jacoubet_-_44._Barri%C3%A8re_de_Charenton%2C_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_45._Barrière_de_St_Mandé_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_45._Barrière_de_St_Mandé_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Atlas_de_Jacoubet_-_45._Barri%C3%A8re_de_St_Mand%C3%A9_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg
Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg
Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg
Atlas_de_Jacoubet_-_49._Barrière_d'Enfer_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_49._Barrière_d'Enfer_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Atlas_de_Jacoubet_-_49._Barri%C3%A8re_d%27Enfer_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_50._Barrière_Croulebarbe_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_50._Barrière_Croulebarbe_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Atlas_de_Jacoubet_-_50._Barri%C3%A8re_Croulebarbe_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_51._Barrière_d'Italie_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_51._Barrière_d'Italie_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Atlas_de_Jacoubet_-_51._Barri%C3%A8re_d%27Italie_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_d'Ivry_et_de_ses_environs_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_d'Ivry_et_de_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_d%27Ivry_et_de_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_Plan_réduit_du_Plan_général_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_Plan_réduit_du_Plan_général_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Atlas_de_Jacoubet_-_Plan_r%C3%A9duit_du_Plan_g%C3%A9n%C3%A9ral_-_BHVP.jpg
Atlas_de_Jacoubet_-_Plan_réduit_du_Plan_général_(Est_de_Paris)_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_Plan_réduit_du_Plan_général_(Est_de_Paris)_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Atlas_de_Jacoubet_-_Plan_r%C3%A9duit_du_Plan_g%C3%A9n%C3%A9ral_%28Est_de_Paris%29_-_BHVP.jpg
Atlas_de_Jacoubet_-_Plan_réduit_du_Plan_général_(Ouest_de_Paris)_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_Plan_réduit_du_Plan_général_(Ouest_de_Paris)_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Atlas_de_Jacoubet_-_Plan_r%C3%A9duit_du_Plan_g%C3%A9n%C3%A9ral_%28Ouest_de_Paris%29_-_BHVP.jpg
